ID,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22
1,1740,4660,560,1540,14530,34180,7800,4230,3790,7590,2060,490
2,2150,6280,1030,3230,14060,34470,10020,3120,5010,11540,4130,500
3,560,1520,220,630,4240,9960,2350,1550,1080,2350,760,130
4,670,1700,250,700,4740,10220,2170,1690,1110,2170,690,110
5,790,2230,350,1040,4170,9930,2750,1160,1190,2790,1090,100
6,1580,4500,710,2160,9960,23270,6230,3510,2800,6760,2650,280
7,1090,2840,340,1040,9430,21150,4320,4550,1610,3490,1170,190
8,630,1640,230,670,5070,10560,2080,2510,820,1780,630,80
9,630,1510,160,370,6760,14840,2670,2900,900,1660,410,90
10,320,810,50,170,4320,10910,2140,1990,460,950,250,50
11,890,2260,200,560,8190,18910,3600,3850,1060,2130,590,210
12,400,960,90,250,4520,9950,1740,2390,510,990,260,80
13,600,1540,190,510,4650,10100,2120,1590,980,2020,570,100
14,1840,4580,570,1500,21720,43680,6720,9380,6140,11590,1670,3290
15,230,540,,80,3750,8850,1840,1770,260,470,90,20
16,1010,2350,280,700,11240,24030,4650,3850,1740,3080,730,140
17,1300,3030,410,990,14810,26450,3890,4220,2720,4390,880,310
18,620,1530,250,650,5170,9620,1850,1310,1430,2410,580,90
19,510,1200,170,420,4640,8780,1590,1230,940,1520,350,70
20,570,1360,100,250,5270,11470,2070,2000,640,1090,240,90
21,700,1900,240,690,5710,13380,3150,2330,1570,3330,1030,210
22,1060,2810,420,1150,6700,15540,3890,1960,1860,4030,1330,210
23,530,1350,170,450,4170,9890,2220,1540,710,1430,450,90
24,2190,6200,1120,3260,9960,22370,6460,2420,3680,7940,2950,300
25,2920,8210,1380,4040,14250,32430,8660,4640,4420,9610,3560,380
26,2390,6110,910,2430,16130,34490,7640,5190,4060,7750,2300,300
27,1780,4610,690,1810,13570,27850,5700,3390,4490,7950,1870,280
28,1050,2900,540,1560,4560,10180,2830,1740,1340,2980,1240,90
29,500,1220,170,440,4480,10050,2040,1950,880,1770,500,100
30,1500,4020,690,1880,7980,17830,4570,1970,2320,4780,1630,170
31,930,2430,320,940,6870,14510,2870,3030,1470,2850,850,190
32,1270,3510,530,1580,9610,21570,5850,3240,2470,5360,1870,230
33,650,1530,190,470,7020,15300,3220,2170,1410,2560,560,180
34,650,1560,180,460,7030,15020,2800,2590,1440,2620,560,200
35,1330,3180,470,1140,12410,25600,4460,4450,3500,6540,1350,580
36,1000,2360,340,790,11400,23830,3760,3790,3480,6690,1150,470
37,450,1030,120,270,7400,14690,2020,2850,1670,3050,390,310
38,520,1200,140,300,14540,26720,2890,2110,7560,12430,480,190
39,630,1540,140,340,9110,21760,5070,3300,1340,2440,500,140
40,600,1470,140,390,7710,18380,3480,2950,1590,3350,730,230
41,210,500,40,100,3940,9200,1550,1870,460,810,150,60
42,1020,2350,240,600,13610,27620,4580,6180,2000,3790,790,360
43,1040,2590,370,1030,8220,16920,3540,2910,2040,4320,1340,230
44,1160,3030,510,1400,9830,22320,5670,2730,3290,7800,2620,360
45,2050,5140,630,1700,14840,33160,7480,4880,3370,7200,2200,390
46,690,1650,180,470,7110,16380,2980,2940,1730,3540,760,310
47,1080,2630,360,920,12270,27410,5280,4120,3430,7040,1590,490
48,660,1670,270,670,8240,18440,3120,3990,2180,4350,920,530
49,480,1240,170,480,6010,13550,2270,3090,1420,3080,710,320
50,480,1120,160,380,7720,16330,2290,2670,2380,4600,690,340
51,1430,3370,490,1170,21480,45030,6610,5210,6260,13330,2250,790
52,670,1650,210,570,9060,18800,2910,3140,2090,4250,860,330
53,460,1140,170,450,5800,12590,2510,1250,2060,4220,870,190
54,1080,2670,410,1070,8170,17270,3790,2450,2000,3910,1170,160
55,700,1780,290,750,8070,20050,6170,2000,3030,8700,3370,250
56,490,1180,50,170,6730,15820,3690,2430,590,930,180,40
57,590,1380,200,480,5680,10550,1830,1600,1250,2150,500,110
58,410,940,110,260,4030,8560,1670,1410,630,1120,280,60
59,760,1770,240,590,7490,16180,3360,2390,1250,2340,590,150
60,410,990,120,290,3700,7360,1330,1030,660,1100,240,70
61,750,1850,330,820,7030,15120,3560,1440,2350,5180,1560,150
62,1050,2600,360,890,9390,19380,4300,2160,2030,3520,900,120
63,720,1700,170,420,8960,18750,3860,2430,1150,1760,370,60
64,560,1370,210,510,5400,11100,2460,1190,1060,1770,450,50
65,720,1710,260,680,6560,13220,2720,1590,1610,2920,740,170
66,360,860,90,230,4270,9060,1870,1440,840,1400,320,130
67,230,550,60,140,3490,6790,1270,1000,570,870,150,50
68,420,1000,100,260,5410,11020,2150,1550,870,1380,250,90
69,450,1210,220,630,3360,7230,1750,670,990,2040,670,60
70,1270,3140,520,1370,12350,24010,4490,2640,3060,5440,1280,260
71,370,870,110,280,6330,9680,980,1690,1390,1880,230,130
72,710,2010,420,1210,4930,10320,2780,590,2360,5150,1750,110
73,680,1760,370,1000,9550,14200,1800,1280,3540,5120,940,170
74,870,2130,390,1010,10010,17060,2820,1380,3450,5860,1300,190
75,720,1670,220,550,17090,24150,1570,3270,3860,5160,490,240
76,820,1920,450,1060,23260,31350,2230,7380,10050,12820,1020,840
77,1410,3320,410,1040,27270,41990,3770,4040,4480,6990,1070,300
78,860,2210,410,1040,9380,16020,2150,2320,3690,6070,970,340
79,170,380,40,110,3630,5720,570,910,1180,1530,110,20
80,420,980,110,240,6430,11580,1530,1940,1280,1810,240,120
81,600,1400,160,380,7800,14710,2140,2260,1990,3220,490,180
82,670,1550,230,570,11050,16950,1740,1070,1730,2580,440,90
83,440,1050,130,330,5670,10430,1590,1450,1310,2140,400,80
84,560,1340,200,470,6600,11880,1760,1740,1300,2030,390,130
85,970,2420,440,1100,10860,18020,2840,1880,3640,5660,1060,200
86,550,1330,170,430,6970,13280,2590,1560,1680,2640,510,180
87,770,1890,210,590,10120,19880,3740,3220,1350,2290,560,120
88,770,1770,190,490,10560,19380,3070,2870,1810,2940,530,160
89,320,790,60,150,4050,9420,2190,1180,410,720,170,40
90,650,1590,220,560,6520,13120,2580,1260,1350,2190,480,80
91,790,2040,310,870,5510,11810,2550,1320,1530,2810,800,120
92,720,1680,240,590,6140,13120,2380,1940,1210,2120,500,100
93,1580,3820,550,1340,15990,31710,5520,4070,3860,6400,1330,320
94,600,1450,190,440,6340,12180,2160,2360,1220,1940,400,110
95,730,1720,230,520,14600,23900,2620,4430,3110,4260,490,200
96,280,650,40,130,4950,9200,1260,2100,630,950,140,60
97,320,750,40,90,6060,10040,1090,2370,680,980,110,30
98,480,1090,70,180,10640,19560,2660,5120,1120,1650,230,110
99,480,1100,90,200,7090,14630,3010,2240,760,1210,200,70
100,310,730,60,140,5140,9800,1690,1460,770,1100,150,60
101,210,500,20,80,4790,9730,1430,2020,550,860,100,70
102,460,1120,130,320,5710,11870,2260,1690,1020,1770,340,90
103,350,860,20,130,5880,14300,3110,2020,580,930,160,40
104,990,2270,260,610,16310,25230,2700,3620,3220,4740,700,230
105,420,1010,70,150,5850,14320,3650,1820,590,980,190,50
106,510,1170,150,350,6420,12750,2420,1620,1190,1820,290,90
107,1240,3020,440,1090,10100,20240,3870,3440,2280,3930,940,240
108,830,1960,250,620,7000,14260,2610,1880,1670,2870,580,180
109,560,1350,200,500,4440,9860,1940,1270,930,1720,460,80
110,580,1410,230,580,4710,10190,2130,1520,1080,1970,540,130
111,1530,4000,600,1670,10490,22120,4810,3410,2640,5160,1600,240
112,610,1580,290,830,3070,6380,1570,820,950,1920,680,60
113,1490,3910,680,1890,8880,17620,4120,2060,2650,5050,1680,160
114,450,1170,190,580,3350,7660,1930,990,690,1390,510,60
115,1200,3150,510,1370,6240,13130,3300,1330,1930,3770,1250,150
116,1090,2610,400,960,11480,27130,4660,4630,3520,7570,1560,710
117,2230,5730,860,2380,20400,46390,9060,7900,5840,12450,3230,1020
118,1270,3080,420,1100,12270,27410,5310,5290,3100,6570,1660,520
119,1470,3640,470,1220,11980,26680,5750,4360,2670,5500,1620,330
120,1300,3200,440,1120,11010,24980,5680,2930,2680,5650,1720,270
121,780,2150,420,1230,6180,13730,3780,1350,2570,5890,2060,140
122,1120,2650,320,770,9880,20530,4020,3160,1790,3050,740,120
123,760,1930,220,600,6710,15300,3320,2460,1290,2660,810,170
124,1100,2830,480,1250,8000,17050,3790,2330,2450,4810,1380,210
125,850,2120,340,900,6250,13400,2990,1660,1690,3350,980,180
126,1330,3370,530,1390,10810,24800,5860,3010,3010,6590,1990,390
127,1310,3320,470,1270,12400,27890,5910,4470,3170,6870,1960,440
128,1030,2590,370,930,10680,24350,4600,3660,3110,6400,1440,530
129,1370,3310,490,1230,13340,31390,5890,5110,3980,8250,1840,810
130,1180,2920,440,1070,12140,28920,5370,4270,3960,8330,1800,770
131,2120,5480,620,1640,18400,46720,11300,5270,3760,7770,2210,720
132,2700,7210,970,2740,18510,45290,11590,4990,5170,11490,3710,720
133,510,1290,110,290,5340,13340,2810,2140,690,1330,340,120
134,480,1230,140,370,5370,13230,2450,2090,1110,2120,500,140
135,1060,2820,450,1260,7320,17200,4050,2260,2140,4580,1490,200
136,2100,5630,930,2640,12010,26780,6600,3600,3710,7640,2590,300
137,2860,7370,1170,3190,22840,53660,13070,7290,6860,15430,4770,800
138,1710,4460,680,1840,10070,22670,5720,2990,2930,6290,2110,280
139,1120,3020,550,1530,7170,16340,4350,1980,2400,5500,1980,160
140,460,1090,50,160,4460,9440,1650,2410,440,790,170,80
