NeighbourhoodID,Neighbourhood,0 to 04 years,0 to 14 years,05 to 09 years,10 to 14 years,100 years and over,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,50 to 54 years,55 to 59 years,55 years and over,60 to 64 years,65 to 69 years,65 years and over,70 to 74 years,75 to 79 years,80 to 84 years,85 to 89 years,85 years and over,90 to 94 years,95 to 99 years,Total Population - All Age Groups - 100% data
1,West Humber-Clairville,1540,5060,1720,1790,5,2325,3120,2785,2345,2035,1980,2475,2195,8970,1795,1595,4980,1185,885,700,400,615,160,50,33320
2,Mount Olive-Silverstone-Jamestown,2190,7090,2500,2415,0,2585,2655,2400,2250,2185,2275,2190,1955,7040,1520,1285,3560,885,630,465,225,300,70,10,32950
3,Thistletown-Beaumond Heights,540,1730,600,595,5,650,760,680,715,665,610,770,660,3065,535,490,1880,375,335,320,225,350,100,20,10360
4,Rexdale-Kipling,560,1640,515,565,0,635,720,715,680,640,680,815,870,3255,650,520,1730,350,295,270,205,300,85,15,10530
5,Elms-Old Rexdale,540,1805,605,660,0,690,750,600,575,550,540,755,730,2535,525,415,1275,305,235,180,105,145,40,5,9460
6,Kingsview Village-The Westway,1425,4240,1485,1325,0,1500,1520,1415,1430,1365,1365,1615,1330,6145,1220,1015,3585,750,660,595,375,575,170,20,22000
7,Willowridge-Martingrove-Richview,1175,3555,1230,1155,10,1275,1350,1235,1235,1295,1295,1590,1600,7810,1305,1245,4905,945,920,910,620,885,240,30,22155
8,Humber Heights-Westmount,440,1450,490,515,15,525,615,520,595,560,605,820,790,4550,720,580,3045,485,495,530,485,950,375,70,10940
9,Edenbridge-Humber Valley,565,2120,705,845,0,885,920,895,905,810,940,1265,1230,5665,1155,910,3290,635,550,520,405,665,200,55,15535
10,Princess-Rosethorn,450,1770,585,730,0,780,800,440,395,500,660,1005,1045,3895,810,630,2025,435,335,315,195,325,115,10,11050
11,Eringate-Centennial-West Deane,780,2635,925,915,0,1170,1235,965,955,1000,1000,1615,1570,6640,1285,1055,3765,765,735,665,380,565,150,25,18580
12,Markland Wood,350,1340,455,535,5,585,580,480,420,480,580,875,930,4430,805,670,2705,550,475,465,350,535,160,20,10560
13,Etobicoke West Mall,570,1695,580,545,10,675,785,985,860,710,705,925,885,3660,715,540,2060,355,335,325,280,505,160,50,11850
14,Islington-City Centre West,2225,5820,1930,1705,30,1920,2775,3985,4060,3530,2960,3130,2920,12795,2480,2050,7405,1545,1240,1080,870,1480,450,115,43975
15,Kingsway South,430,1580,550,600,10,595,505,320,305,490,610,815,700,3355,645,605,1995,465,325,290,170,325,130,25,9275
16,Stonegate-Queensway,1385,4060,1465,1240,5,1230,1265,1310,1545,1810,1960,2095,2005,7825,1655,1295,4165,805,740,575,405,750,285,60,25065
17,Mimico (includes Humber Bay Shores),1475,3505,1090,930,0,1025,1985,3520,3805,2955,2460,2655,2495,9790,2125,1785,5160,1285,930,605,375,565,150,25,33960
18,New Toronto,620,1610,570,425,5,545,845,910,895,875,825,915,840,3095,740,520,1525,350,300,205,80,140,45,15,11315
19,Long Branch,505,1335,450,380,0,430,700,820,835,765,680,865,840,2925,680,535,1405,340,225,165,95,140,35,5,10085
20,Alderwood,685,1760,600,480,0,570,665,715,840,905,860,1035,1030,3840,795,620,2015,420,340,315,190,320,100,15,12050
21,Humber Summit,695,2155,725,730,5,815,905,835,745,755,775,940,700,3680,615,580,2380,540,535,450,210,260,40,5,12415
22,Humbermede,995,2945,1035,920,0,1045,1180,1115,1045,1080,970,1155,990,3915,770,680,2160,440,455,320,180,260,70,10,15545
23,Pelmo Park-Humberlea,555,1745,610,580,0,675,695,685,755,720,715,915,805,2960,585,420,1590,315,360,270,145,205,50,5,10720
24,Black Creek,1510,4600,1585,1510,15,1585,1705,1575,1430,1295,1315,1475,1360,5300,1065,860,2870,645,585,415,235,370,110,30,21735
25,Glenfield-Jane Heights,1755,5790,2010,2015,0,2235,2285,1865,1855,1775,1750,2220,2050,8625,1555,1375,5005,1060,1035,850,500,700,170,30,30490
26,Downsview-Roding-CFB,2010,5725,1870,1865,0,2025,2315,2240,2455,2620,2345,2800,2505,9910,1875,1520,5535,1105,1085,950,620,870,210,35,35045
27,York University Heights,1435,4045,1350,1260,0,1750,3000,2825,2215,1840,1655,2025,1740,6490,1225,1040,3530,775,725,585,280,400,95,10,27600
28,Rustic,620,1940,660,655,5,730,675,585,560,540,570,705,625,2980,490,390,1865,370,375,365,230,365,105,25,9940
